Name,Image,District/ward,Borough,Region,Type,Summary
Courtauld Gallery,,Strand,Westminster,North,Art,"Part of the University of London, located in Somerset House, features Old 
Masters and Impressionist paintings"
Crime Museum,,,Westminster,North,Law enforcement,"History, artefacts and crime memorabilia of Scotland Yard, not open to the 
public"
Crofton Roman Villa,,Orpington,Bromley,South East,Archaeology,Remains of a Roman villa
Crossness Pumping Station,,Crossness,Bexley,South East,Technology,Victorian sewage pumping station with preserved steam engines
Crystal Palace Museum,,Crystal Palace,Bromley,South East,History,History and memorabilia of The Crystal Palace[6]
Cubitt Gallery,,Finsbury,Islington,North,Art,
Cuming Museum,,Walworth,Southwark,South East,Local,"Local history, culture; small collection of Ancient Egyptian objects. 
Closed since March 2013 due to fire damage."
Cutty Sark Museum,,Greenwich,Greenwich,South East,Maritime,"Mid-19th century clipper, museum ship"
Danson House,,Danson Park,Bexley,South East,Historic house,18th century Georgian house
Dennis Severs' House,,Spitalfields,Tower Hamlets,North East,Living,Enactments of life in the 18th and 19th centuries
Design Museum,,Shad Thames,Southwark,South East,Design,"Product, industrial, graphic, fashion and architectural design"
Dr Johnson's House,,City of London,City of London,North East,Historic house,18th-century townhouse home of 18th-century English writer Samuel Johnson
Dorich House,,Kingston Vale,Kingston upon Thames,South West,Art,"Former studio of the Estonian sculptor Dora Gordine, with a collection of 
her works and of Russian Imperial art. Part of Kingston University.[7]"
Down House,,Downe,Bromley,South East,Historic house,"Operated by English Heritage, home of naturalist Charles Darwin where he 
wrote ""On the Origin of Species"""
Dulwich Picture Gallery,,Dulwich,Southwark,South East,Art,"Collection of European Old Masters, mostly of the 17th and 18th centuries"
Eastbury Manor House,,Barking,Barking and Dagenham,North East,Historic house,"Owned by the National Trust, 16th century Tudor gentry house, local history 
displays"
Eltham Palace,,Eltham,Greenwich,South East,Historic house,"Operated by English Heritage, 1930s Art Deco house with mediaeval Great Hall"
Estorick Collection of Modern Italian Art,,Canonbury,Islington,North,Art,Modern Italian art
Fan Museum,,Greenwich,Greenwich,South East,Fashion,Art and craft of the fan
Faraday Museum,,Mayfair,Westminster,North,Science,"Located at the Royal Institution, scientist Michael Faraday's 19th century 
laboratory, activities and people associated with the Institution"
Fashion and Textile Museum,,Bermondsey,Southwark,South East,Fashion,"Fashions, textiles and jewellery, both historic and contemporary"
Fenton House,,Hampstead,Camden,North,Historic house,"Operated by the National Trust, 17th century merchant's house, features 
collections of early keyboard instruments, paintings, porcelain, needlework 
pictures and Georgian furniture"
Fleming Museum,,Paddington,Westminster,North,Medical,"Located at St Mary's Hospital, London, site and history of Alexander Fleming's 
discovery of penicillin, 1928 period laboratory"
Fleming Collection,,Mayfair,Westminster,North,Art,"Exhibitions of Scottish art, both from its collections and elsewhere"
Florence Nightingale Museum,,Lambeth,Lambeth,South West,Medical,Life and nursing work of Florence Nightingale
Forty Hall Museum,,Forty Hill,Enfield,North,Multiple,"Local history, 17th and 18th century ceramics and pottery, 19th and 20th 
century china, glassware"
Foundling Museum,,Bloomsbury,Camden,North,Multiple,"History of the Foundling Hospital, Britain's first home for abandoned 
children, art by many of Britain's most prominent 18th-century artists, 
18th-century period rooms, room on composer George Frideric Handel and his 
connection to the hospital"
Francis Skaryna Belarusian Library and Museum,,North Finchley,Barnet,North,Cultural,Collection of material relating to the history of Belarus
Freud Museum,,Hampstead,Camden,North,Historic house,"Home of Dr. Sigmund Freud, features his study, exhibits on his life and 
works, collection of Ancient Egyptian artefacts, contemporary art and 
Freud-themed exhibitions"
Fulham Palace,,Fulham,Hammersmith and Fulham,West,Historic house,"Mediaeval former residence of the Bishop of London, also art gallery"
Fusiliers Museum,,Tower Hill,Tower Hamlets,North East,Military,"History of the Royal Fusiliers, uniforms, regalia, medals, weapons and 
memorabilia, located at the Tower of London"
Galton Collection,,Bloomsbury,Camden,North,Medical,"Part of the University College London, open by appointment only, scientific 
instruments, papers, and personal memorabilia of Sir Francis Galton"
Garden Museum,,Lambeth,Lambeth,South West,Gardening,Tools and artefacts related to ornamental gardening
Garrick's Temple to Shakespeare,,Hampton,Richmond upon Thames,South West,Biographical,"18th century folly built by actor David Garrick to celebrate the genius of William 
Shakespeare, includes display on Garrick's life and acting career"
Gasworks Gallery,,Kennington,Lambeth,South West,Art,Contemporary art organisation with exhibition space and studios
Geffrye Museum,,Shoreditch,Hackney,North,Art and historic house,"Changing style of the English domestic interior in a series of period rooms 
from 1600 to the present day. Also historic alms house."
Goldsmiths' Centre,,Clerkenwell,Islington,North,Art,"Changing exhibits of contemporary jewellery and silversmithing, operated by 
the Worshipful Company of Goldsmiths"
Golden Hinde,,Bankside,Southwark,South East,Maritime,"Replica museum ship of the Golden Hind, the 16th century galleon used by 
Sir Francis Drake"
Gordon Museum of Pathology,,Southwark,Southwark,South East,Medical,"The largest medical Museum in the United Kingdom,[8] part of King's College 
London"
Grant Museum of Zoology and Comparative Anatomy,,Bloomsbury,Camden,North,Natural history,"Part of the University College London, skeletons, taxidermy, entomology and 
specimens preserved in fluid."
Greenwich Heritage Centre,,Woolwich,Greenwich,South East,Local,"Local history, culture, Royal Arsenal and the Royal Woolwich Dockyard"
Greenwich Visitor Centre,,Greenwich,Greenwich,South East,History,"Also known as Discover Greenwich Visitor Centre, history of the World 
Heritage Site, its builders and buildings, maritime heritage, local history"
Guards Museum,,,Westminster,North,Military,"History, artefacts and memorabilia of the five regiments of Foot Guards: 
the Grenadier Guards, Coldstream Guards, Scots Guards, Irish Guards, and Welsh 
Guards"
Guildhall Art Gallery,,Bassishaw,City of London,North East,Art,"Located in the Guildhall, collection includes art and cultural artefacts 
about London, Victorian-era works, remains of a Roman amphitheatre in the 
basement"
Gunnersbury Park Museum,,Acton,Hounslow,West,Local,"Local history of Hounslow and Ealing boroughs, archaeology, costume, fine 
art, ceramics, also Edwardian era kitchen rooms"
Hackney Museum,,Hackney,Hackney,North,Local,Local history and culture[9]
Hall Place,,Crayford,Bexley,South East,Historic house,"16th & 17th century former stately home, exhibits from the Bexley Museum's 
collections including art, social history, natural history, geology, 
archaeology, Ancient Egypt, costumes, furniture"
Ham House,,Ham,Richmond upon Thames,South West,Historic house,"Operated by the National Trust, 17th century grand house, fine interiors 
and historic gardens, collections of textiles and furniture"
Hampton Court Palace,,Hampton,Richmond upon Thames,South West,Historic house,"Former royal palace, King Henry VIII exhibition, Tudor kitchen, 
Tudor-period living history programmes, gardens, maze"
Handel House Museum,,Mayfair,Westminster,North,Historic house,"18th century period townhouse, home of baroque composer George Frideric 
Handel"
Harrow Museum,,Headstone,Harrow,West,Local,"Local history, industry, archaeology, also known as Headstone Manor Museum"
Havering Museum,,Romford,Havering,North East,Local,
Hayward Gallery,,Southbank,Lambeth,South West,Art,"Part of the Southbank Centre, contemporary art"
Heath Robinson Museum,,Pinner,Harrow,North West,Biographical,Life and work of cartoonist Heath Robinson
HMS Belfast,,Southwark,Southwark,South East,Maritime,"Operated by the Imperial War Museum, originally a Royal Navy light cruiser 
and served during the Second World War and Korean War"
Hogarth's House,,Chiswick,Hounslow,West,Historic house,Home of the 18th-century English artist William Hogarth
Honeywood Museum,,Carshalton,Sutton,South West,Local,"17th-century house with details from different eras of ownership, local 
history exhibits"
Honourable Artillery Company Museum,,Finsbury,Islington,North,Military,Regimental artefacts and memorabilia
Horniman Museum,,Forest Hill,Lewisham,South East,Multiple,"Musical instruments, art, natural history, anthropology, African arts and 
culture, aquarium, gardens"
House of Dreams Museum,,East Dulwich,Southwark,South East,Art,"House turned into outsider art sculpture by former textile designer and art 
director Steven Wright"
House of Illustration,,Kings Cross,Camden,North,Art,"Located at Granary Square, public gallery dedicated to illustration[10]"
Household Cavalry Museum,,Horse Guards Parade,Westminster,North,Military,Regimental artefacts and memorabilia of the Household Cavalry
House Mill,,Bromley-by-Bow,Newham,North East,Mill,18th–19th century tidal mill
Hunterian Museum,,Lincoln's Inn Fields,Westminster,North,Medical,"Hunterian Collection of preserved anatomical specimens, history, artefacts 
and developments in surgery, part of the Royal College of Surgeons"
ICANDO,,Victoria,Westminster,North,Scouting,"Formerly the Girl Guide Heritage Centre, exhibits and activities about Girl 
Guides[11]"
Imperial War Museum London,,Southwark,Southwark,South East,Military,Warfare in the 20th and 21st centuries
Inns of Court & City Yeomanry Museum,,Lincoln's Inn,Camden,North,Military,Regimental history and artefacts of the Inns of Court and City Yeomanry
Institute of Archaeology Collections,,Bloomsbury,Camden,North,Archaeology,"Part of the University College London, open by appointment only, 
prehistoric ceramics and stone artefacts, Classical Greek and Roman ceramics"
Institute of Contemporary Arts,,The Mall,Westminster,North,Art,Multi-disciplinary arts centre with exhibit galleries
Islington Museum,,Finsbury,Islington,North,Local,Local history
Jack the Ripper Museum,,,Tower Hamlets,North East,History,"History of the East London in the 1880s, providing a serious examination of 
the crimes of Jack the Ripper within the social context of the period"
Jewel Tower,,Westminster,Westminster,North,History,"Operated by English Heritage, one of only two surviving sections of the 
mediaeval royal Palace of Westminster, includes an exhibition on the 
history of Parliament and the building"
Jewish Museum London,,Camden Town,Camden,North,Ethnic,"Jewish culture, heritage and traditions in Britain, ceremonial art 
collection"
Keats House,,Hampstead,Camden,North,Historic house,Early 19th century home of Romantic poet John Keats
Kelmscott House Museum,,Hammersmith,Hammersmith and Fulham,West,Art,"London home of William Morris, exhibits of his designs"
Kennel Club Dog Art Gallery,,,Westminster,North,Art,"Exhibits and collection of dog paintings, open by appointment"
Kensington Palace,,Kensington Gardens,Kensington and Chelsea,West,Historic house,Royal residence
Kenwood House,,Hampstead,Camden,North,Historic house,"Operated by English Heritage, 17th century former stately home, interiors 
by Robert Adam, features collection of Old Master paintings"
Kew Gardens,,Kew,Richmond upon Thames,South West,Multiple,"Includes Shirley Sherwood Gallery of Botanical Art, Marianne North Gallery, 
exhibits on plants and conservation, Kew Palace"
Kew Palace,,Kew,Richmond upon Thames,South West,Historic house,Former royal palace located within the Kew Gardens
Kingston Museum,,Kingston upon Thames,Kingston upon Thames,South West,Local,"Local history, Eadweard Muybridge gallery of photographs, exhibits of art, 
photography, culture"
Kirkaldy Testing Museum,,Southwark,Southwark,South East,Technology,Materials testing machines used by engineer David Kirkaldy
L-13 Light Industrial Workshop,,Clerkenwell,Islington,North,Art,Contemporary art space
Lambeth Palace,,Lambeth,Lambeth,South West,Historic house,Tours of the official London residence of the Archbishop of Canterbury
Landmark Arts Centre,,Teddington,Richmond upon Thames,West,Art,"Arts centre with visual art gallery, located in the former St Alban's Church
[12]"
Langdon Down Museum of Learning Disability,,Teddington,Richmond upon Thames,South West,Medical,"Operated by the Down's Syndrome Association in the Langdon Down Centre, 
history of treating people with learning disabilities"
Lethaby Gallery,,Kings Cross,Camden,North,Art,"Located at Granary Square, art gallery of Central Saint Martins, features 
contemporary and historic works from its collections of art and design"
Leighton House Museum,,Holland Park,Kensington and Chelsea,West,Art,"Victorian house of painter Frederic, Lord Leighton, features paintings, 
sculpture, Middle Eastern tiles"
Library and Museum of Freemasonry,,Holborn,Camden,North,Masonic,"Library, artefacts and regalia of Freemasonry"
Little Holland House,,Carshalton,Sutton,South West,Historic house,"Arts and Crafts home of the artist Frank Dickinson (1874–1961) with 
interior influenced by John Ruskin and William Morris"
London Canal Museum,,Kings Cross,Islington,North,Transportation,History of London's canals
London Film Museum,,Covent Garden,Westminster,North,Media,"Props, costumes, sets and artefacts from British films, history of 
moviemaking"
London Fire Brigade Museum,,Southwark,Southwark,South East,Firefighting,"Open by appointment only, history of the London Fire Brigade, equipment, 
apparatus"
London Motor Museum,,Hayes,Hillingdon,West,Transport,"Includes classic cars from the 1960s, '70s and '80s"
London Motorcycle Museum,,Greenford,Ealing,West,Transportation,Over 150 classic and British motorcycles
London Museum of Water & Steam,,Brentford,Hounslow,West,Technology,"Water supply technology and a collection of water pumping steam engines, 
also operating narrow gauge railway; formerly the Kew Bridge Steam Museum"
London Sewing Machine Museum,,Wimbledon,Merton,South West,Technology,Collection of sewing machines[13]
London Transport Museum,,Covent Garden,Westminster,North,Transportation,"Public transportation including the railway, underground, buses, memorabilia"
London Transport Museum Depot,,Acton,Ealing,West,Transportation,"Houses the majority of the museum's collection, open day visits and tours"
Madame Tussauds London,,,Westminster,North,Wax,"Wax figures of celebrities in acting, music, politics, sports, history, 
royalty and fiction"
Magic Circle Museum,,,Camden,North,Magic,"Magic tricks, props, posters, artefacts, open by appointment"
Mansion House,,City of London,City of London,North East,Historic house,"Guided tours of the public rooms of the official residence of the Lord 
Mayor of the City of London, includes city regalia, 17th Century Dutch and 
Flemish paintings, gold and silver plate collections"
Marble Hill House,,Richmond,Richmond upon Thames,South West,Historic house,"Operated by English Heritage, 18th century Palladian villa with Georgian 
interior"
Markfield Beam Engine and Museum,,Tottenham,Haringey,North,Technology,Victorian 100 horsepower beam pumping engine
MCC Museum,,St John's Wood,Westminster,North,Sports,"History and memorabilia of cricketing, located at Lord's Cricket Ground"
Mall Galleries,,Trafalgar Square,Westminster,North,Art,Gallery exhibits of the Federation of British Artists
Media Space,,South Kensington,Kensington and Chelsea,West,Art,"Located on the second floor of the Science Museum, showcases the collection 
of the National Media Museum, explores relationships between, and 
lesser-known histories of, photography, science, art and technology"
Merton Heritage Centre,,Morden,Merton,South West,Local,Local history[14]
"MOCA, London",,Peckham Rye,Southwark,South East,Contemporary Art,"Museum dedicated to Contemporary Art of varied media. Curated by Michael 
Petry"
Morley Gallery,,South Bank,Lambeth,South West,Art,"Part of Morley College, exhibitions include painting, printmaking, 
sculpture, photography, ceramics, textiles, installations, digital and 
sound art"
Museum of Army Music,,Twickenham,Richmond upon Thames,South West,Music,"Open Wednesday afternoons and by appointment, history of British military 
bands and music, includes musical instruments, banners, uniforms, 
paintings, model bands"
Museum of Asian Music,,Acton,Ealing,West,Music,"Musical instruments, music extracts and video clips of music from across 
Asia"
"Museum of Brands, Packaging and Advertising",,Notting Hill,Kensington and Chelsea,West,Media,"Advertising, packaging and brand memorabilia and artefacts, including 
domestic products, packaging, posters, toys and games"
Museum of Comedy,,Bloomsbury,Camden,North,Media,"Located in the undercroft of St. George's, Bloomsbury, photos, posters, 
memorabilia, scrips, video and film about the history of British comedy"
Museum of Croydon,,Croydon,Croydon,South West,Local,"Local history, culture, social history, Riesco Gallery with collections of 
Chinese pottery and ceramics, and Roman and Anglo-Saxon collections"
Museum of Domestic Design and Architecture,,Colindale,Barnet,North,Art,"Open by appointment only, research museum of Middlesex University, 19th and 
20th century decorative arts for the home including textiles and wallpaper"
Museum of Immigration and Diversity,,Spitalfields,Tower Hamlets,North East,History,
Museum of Life Sciences,,Southwark,Southwark,South East,Natural history,"Historic biological and pharmaceutical collections, including skeletons, 
fluid-preserved material, taxidermy, and fossils; part of King's College 
London"
Museum of London,,Barbican Estate,City of London,North East,History,"City's history, culture, archaeology"
Museum of London Docklands,,Isle of Dogs,Tower Hamlets,North East,Maritime,"Area maritime, river and local history"
Museum of Richmond,,Richmond,Richmond upon Thames,South West,Local,"Local history, culture"
Museum of the Order of St John,,Clerkenwell,Islington,North,Medical,History of the Order of St John and its medical care in the community
Museum of Wimbledon,,Wimbledon,Merton,South West,Local,"Local history, culture[15]"
Musical Museum,,Brentford,Hounslow,West,Music,Collection of music boxes and automatic instruments
National Army Museum,,Chelsea,Kensington and Chelsea,West,Military,History and artefacts of the British Army
National Gallery,,Trafalgar Square,Westminster,North,Art,"National collection of Western European painting from the 13th century to 
1900"
National Maritime Museum,,Greenwich,Greenwich,South East,Maritime,"History of Britain at sea, includes maritime art, ship models and plans, 
scientific and navigational instruments, instruments for time-keeping and 
astronomy. Incorporates Greenwich Observatory and the Queen's House."
National Portrait Gallery,,Trafalgar Square,Westminster,North,Art,Portraits of historically important and famous British people
Natural History Museum,,South Kensington,Kensington and Chelsea,West,Natural history,"Also includes the Geological Museum, collections focus is botany, entomology, 
mineralogy, palaeontology and zoology."
Old Operating Theatre Museum and Herb Garret,,Southwark,Southwark,South East,Medical,"19th century operating theatre, herb garret and museum of surgery"
Old Royal Naval College,,Greenwich,Greenwich,South East,Historic site,
"Old Speech Room Gallery and Museum, Harrow School",,Harrow,Harrow,West,Art,"Egyptian and Greek antiquities, English watercolours, Modern British 
paintings, sculpture, printed books and natural history"
Orleans House Gallery,,Twickenham,Richmond upon Thames,South West,Art,"Municipal art gallery, also the Stables Gallery"
Osterley Park and House,,Isleworth,Hounslow,West,Historic house,"Operated by the National Trust, late 18th-century palace designed by Robert 
Adam, ornate interiors, gardens"
Parasol unit foundation for contemporary art,,,Hackney,North,Art,"Exhibitions of works by international contemporary artists working in 
various media"
Peckham Platform,,,Southwark,South East,Art,Contemporary art
Petrie Museum of Egyptian Archaeology,,Bloomsbury,Camden,North,Archaeology,"Artifacts from Ancient Egypt, part of the University College London"
The Photographers' Gallery,,Soho,Westminster,North,Art,Photography
Pitzhanger Manor,,Ealing,Ealing,West,Historic house,"Also known as PM Gallery and House, manor designed by architect John Soane 
with PM Gallery for contemporary art. Closed until 2018."
Polish Institute and Sikorski Museum,,South Kensington,Kensington and Chelsea,West,Military,Contributions of the Polish Armed Forces in the West in World War II
Pollock's Toy Museum,,Fitzrovia,Camden,North,Toy,"Toys, games, dolls, puppets, folk toys"
Pushkin House,,Bloomsbury,Camden,North,Art,Russian art and culture
Queen Charlotte's Cottage,,Kew,Richmond upon Thames,South West,Historic house,"Located within the Kew Gardens, 18th century rustic country retreat built 
for Queen Charlotte, open seasonally"
Queen Elizabeth's Hunting Lodge,,Chingford,Waltham Forest,North East,Historic house,Tudor hunting lodge
Queen's Gallery,,,Westminster,North,Art,"Exhibitions of items from the Royal Collection, located at Buckingham Palace"
Queen's House,,Greenwich,Greenwich,South East,Art,Marine art gallery of the National Maritime Museum
Ragged School Museum,,,Tower Hamlets,North East,Education,History of the Victorian-era charity schools
Rainham Hall,,Rainham,Havering,North East,Historic house,"Operated by the National Trust, 18th-century Queen Anne house"
Ranger's House (Wernher Collection),,Greenwich,Greenwich,South East,Art,"Operated by English Heritage, Georgian villa with fine and decorative art 
collection, including silver and jewels, paintings and porcelain"
Red House,,Bexleyheath,Bexley,South East,Historic house,"Operated by the National Trust, 19th-century house commissioned, created 
and lived in by William Morris, founder of the Arts and Crafts Movement"
Red Mansion Foundation,,Portland Place,Westminster,North,Art,Gallery exhibits of contemporary Chinese art
Redbridge Museum,,Ilford,Redbridge,North East,Local,"Local history, culture, located on the second floor of Ilford Central 
Library[16]"
RCM Museum of Music,,South Kensington,Kensington and Chelsea,West,Music,"Musical instruments, art, documents and accessories, part of the Royal 
College of Music"
Riverside Gallery,,Richmond,Richmond upon Thames,South West,Art,Municipal art gallery[17]
Rivington Place,,Shoreditch,Hackney,North,Art,"International visual arts centre, home to InIVA and Autograph ABP"
Rose Theatre Exhibition,,Bankside,Southwark,South East,Archaeology,Excavations of an Elizabethan theatre
Royal Academy of Arts,,Piccadilly,Westminster,North,Art,Located in Burlington House
Royal Academy of Music Museum,,Regent's Park,Westminster,North,Music,Musical instruments and artefacts of the Royal Academy of Music
Royal Air Force Museum London,,Colindale,Barnet,North,Aviation,History of aviation and the British Royal Air Force
"Royal Armouries, Tower of London",,Tower Hill,Tower Hamlets,North East,Military,Arms and armour dating from the Middle Ages onwards
Royal College of Physicians Museum,,Regent's Park,Camden,North,Medical,"Portraits, silver, medical instruments and artefacts"
Royal Hospital Chelsea Museum,,Chelsea,Kensington and Chelsea,West,Military,"Military artefacts and memorabilia, items related to The Duke of Wellington"
Royal London Hospital Archives and Museum,,Whitechapel,Hackney,North,Medical,History of the hospital and medical care in the East End
Royal Mews,,,Westminster,North,Transportation,"The Queen's stables, features State vehicles including horse-drawn 
carriages and motor cars, and the Gold State Coach"
"Royal Observatory, Greenwich",,Greenwich,Greenwich,South East,Horology,"Part of the National Maritime Museum, features astronomical and 
navigational tools, a planetarium"
Royal Pharmaceutical Society Museum,,Lambeth,Lambeth,South West,Medical,"British pharmacy history, medicines and artefacts"
St Bartholomew's Hospital Museum,,Smithfield,City of London,North East,Medical,"History of the hospital and its work, historic surgical instruments, 
sculpture, mediaeval archives, works of art including paintings by William 
Hogarth"
St Paul's Cathedral,,Ludgate Hill,City of London,North East,Religious,"Anglican cathedral with religious art, sculpture, architecture, tombs, 
decorative arts"
Saatchi Gallery,,Chelsea,Kensington and Chelsea,West,Art,Contemporary art
Science Museum,,South Kensington,Kensington and Chelsea,West,Science,"National museum of science and technology, transportation, medicine, steam 
engines"
Serpentine Galleries,,Kensington Gardens,Kensington and Chelsea,West,Art,"Serpentine Gallery and Serpentine Sackler Gallery in Kensington Gardens, 
exhibitions of contemporary art, architecture and design"
Shakespeare’s Globe Exhibition,,Southwark,Southwark,South East,Theatre,"Backstage tours and history of the theatre, costumes, music, theatrical 
effects, recreation of a 17th-century printing press"
Sherlock Holmes Museum,,Regent's Park,Westminster,North,Biographical,Dedicated to the fictional detective Sherlock Holmes
Shirley Windmill,,Shirley,Croydon,South West,Mill,Restored mid-19th-century tower windmill
The Showroom,,,Westminster,North,Art,Contemporary art gallery
Sir John Soane's Museum,,Holborn,Camden,North,Art,"Fine art, architecture, antiquities, sculpture"
Somerset House,,Strand,Westminster,North,Art,Arts centre with gallery and Courtauld Gallery
